"epoch","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - _step__MAX","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - epoch_val_loss","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - epoch_val_loss__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - epoch_val_loss__MAX","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - loss_per_epoch","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - loss_per_epoch__MIN","HOPV241_Shifted0.2Dropout_241spectra100epochs_16batchsize_0.0005lr_4cutoff_4numblock_512features_64att_HOPV_241pol_seed3512 - loss_per_epoch__MAX"
"44","998.5","998","999","93741.22005208333","93741.22005208333","93741.22005208333","64005.4001953125","64005.4001953125","64005.4001953125"
"45","1020.5","1020","1021","104262.00651041667","104262.00651041667","104262.00651041667","60745.731640625","60745.731640625","60745.731640625"
"46","1042.5","1042","1043","98379.6484375","98379.6484375","98379.6484375","60889.305859375","60889.305859375","60889.305859375"
"47","1064.5","1064","1065","95427.94140625","95427.94140625","95427.94140625","63692.159375","63692.159375","63692.159375"
"48","1086.5","1086","1087","116757.90104166667","116757.90104166667","116757.90104166667","63531.2984375","63531.2984375","63531.2984375"
"49","1108.5","1108","1109","114368.953125","114368.953125","114368.953125","58101.479296875","58101.479296875","58101.479296875"
"50","1131.5","1130","1133","120373.07682291667","120373.07682291667","120373.07682291667","54342.9837890625","54342.9837890625","54342.9837890625"
"51","1154.5","1154","1155","103786.99479166667","103786.99479166667","103786.99479166667","53455.4583984375","53455.4583984375","53455.4583984375"
"52","1176.5","1176","1177","100273.79166666667","100273.79166666667","100273.79166666667","51025.54140625","51025.54140625","51025.54140625"
"53","1198.5","1198","1199","98646.26822916667","98646.26822916667","98646.26822916667","50726.0447265625","50726.0447265625","50726.0447265625"
"54","1220.5","1220","1221","96611.15104166667","96611.15104166667","96611.15104166667","48882.700390625","48882.700390625","48882.700390625"
"55","1242.5","1242","1243","97153.38411458333","97153.38411458333","97153.38411458333","48273.45107421875","48273.45107421875","48273.45107421875"
"56","1264.5","1264","1265","134670.65494791666","134670.65494791666","134670.65494791666","47041.78701171875","47041.78701171875","47041.78701171875"
"57","1286.5","1286","1287","93026.65364583333","93026.65364583333","93026.65364583333","46971.86484375","46971.86484375","46971.86484375"
"58","1308.5","1308","1309","105625.15364583333","105625.15364583333","105625.15364583333","47525.47646484375","47525.47646484375","47525.47646484375"
"59","1330.5","1330","1331","102371.7734375","102371.7734375","102371.7734375","46302.66806640625","46302.66806640625","46302.66806640625"
"60","1353.5","1352","1355","91487.17838541667","91487.17838541667","91487.17838541667","43775.76123046875","43775.76123046875","43775.76123046875"
"61","1376.5","1376","1377","95513.08072916667","95513.08072916667","95513.08072916667","42971.46826171875","42971.46826171875","42971.46826171875"
"62","1398.5","1398","1399","96913.66276041667","96913.66276041667","96913.66276041667","41760.27548828125","41760.27548828125","41760.27548828125"
"63","1420.5","1420","1421","94066.30859375","94066.30859375","94066.30859375","40655.68232421875","40655.68232421875","40655.68232421875"
"64","1442.5","1442","1443","100441.07161458333","100441.07161458333","100441.07161458333","39821.09892578125","39821.09892578125","39821.09892578125"
"65","1464.5","1464","1465","104352.36588541667","104352.36588541667","104352.36588541667","41359.248046875","41359.248046875","41359.248046875"
