"epoch","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step__MAX","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - epoch_val_loss","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - epoch_val_loss__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - epoch_val_loss__MAX","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - loss_per_epoch","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - loss_per_epoch__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - loss_per_epoch__MAX"
"38","5778.5","5778","5779","908.3929946001838","908.3929946001838","908.3929946001838","681.7126241187527","681.7126241187527","681.7126241187527"
"39","5926.5","5926","5927","813.4697804170496","813.4697804170496","813.4697804170496","611.6030511725439","611.6030511725439","611.6030511725439"
"40","6075.5","6074","6077","894.7709763470818","894.7709763470818","894.7709763470818","581.3299959783685","581.3299959783685","581.3299959783685"
"41","6224.5","6224","6225","943.8288753733915","943.8288753733915","943.8288753733915","608.3926638250482","608.3926638250482","608.3926638250482"
"42","6372.5","6372","6373","828.5464621151195","828.5464621151195","828.5464621151195","620.0966161440497","620.0966161440497","620.0966161440497"
"43","6520.5","6520","6521","1145.4010404698988","1145.4010404698988","1145.4010404698988","1000.9947470050969","1000.9947470050969","1000.9947470050969"
"44","6668.5","6668","6669","927.8868623621323","927.8868623621323","927.8868623621323","751.755274315403","751.755274315403","751.755274315403"
"45","6816.5","6816","6817","842.5763513901654","842.5763513901654","842.5763513901654","646.5287519481084","646.5287519481084","646.5287519481084"
"46","6964.5","6964","6965","837.4701825310202","837.4701825310202","837.4701825310202","555.6811352037404","555.6811352037404","555.6811352037404"
"47","7112.5","7112","7113","834.9428405761719","834.9428405761719","834.9428405761719","510.4294648888993","510.4294648888993","510.4294648888993"
"48","7260.5","7260","7261","816.7014878216912","816.7014878216912","816.7014878216912","476.146008844245","476.146008844245","476.146008844245"
"49","7408.5","7408","7409","821.0297977223116","821.0297977223116","821.0297977223116","450.0670661403708","450.0670661403708","450.0670661403708"
"50","7557.5","7556","7559","929.4961296530331","929.4961296530331","929.4961296530331","430.8220929185005","430.8220929185005","430.8220929185005"
"51","7706.5","7706","7707","779.3995092055377","779.3995092055377","779.3995092055377","446.75920523029487","446.75920523029487","446.75920523029487"
"52","7854.5","7854","7855","790.0858567181756","790.0858567181756","790.0858567181756","437.8944183767658","437.8944183767658","437.8944183767658"
"53","8002.5","8002","8003","821.665870217716","821.665870217716","821.665870217716","445.283148778628","445.283148778628","445.283148778628"
"54","8150.5","8150","8151","837.0212833180148","837.0212833180148","837.0212833180148","422.41326768430946","422.41326768430946","422.41326768430946"
"55","8298.5","8298","8299","771.7597422880285","771.7597422880285","771.7597422880285","393.98928143226937","393.98928143226937","393.98928143226937"
"56","8446.5","8446","8447","841.0782596363741","841.0782596363741","841.0782596363741","381.04033148778626","381.04033148778626","381.04033148778626"
"57","8594.5","8594","8595","871.3840780819164","871.3840780819164","871.3840780819164","383.6485629147046","383.6485629147046","383.6485629147046"
"58","8742.5","8742","8743","787.7805786132812","787.7805786132812","787.7805786132812","381.664258460476","381.664258460476","381.664258460476"
"59","8890.5","8890","8891","884.9774618709789","884.9774618709789","884.9774618709789","413.14074424848167","413.14074424848167","413.14074424848167"
"60","9039.5","9038","9041","713.2988532571231","713.2988532571231","713.2988532571231","398.27487914202965","398.27487914202965","398.27487914202965"
"61","9188.5","9188","9189","732.3245185403263","732.3245185403263","732.3245185403263","396.91533963974206","396.91533963974206","396.91533963974206"
"62","9336.5","9336","9337","782.8220376407398","782.8220376407398","782.8220376407398","536.5422989309651","536.5422989309651","536.5422989309651"
"63","9484.5","9484","9485","874.9159456140854","874.9159456140854","874.9159456140854","398.0734287418731","398.0734287418731","398.0734287418731"
"64","9632.5","9632","9633","801.9756074793198","801.9756074793198","801.9756074793198","421.1750561439828","421.1750561439828","421.1750561439828"
"65","9780.5","9780","9781","796.158779368681","796.158779368681","796.158779368681","348.46605556958343","348.46605556958343","348.46605556958343"
"66","9928.5","9928","9929","815.4018877814798","815.4018877814798","815.4018877814798","330.58668488345734","330.58668488345734","330.58668488345734"
"67","10076.5","10076","10077","766.3688641716452","766.3688641716452","766.3688641716452","325.6899599049189","325.6899599049189","325.6899599049189"
"68","10224.5","10224","10225","750.9823590446921","750.9823590446921","750.9823590446921","301.9926491306253","301.9926491306253","301.9926491306253"
"69","10372.5","10372","10373","765.103713091682","765.103713091682","765.103713091682","289.46189420517175","289.46189420517175","289.46189420517175"
"70","10521.5","10520","10523","721.5250980152804","721.5250980152804","721.5250980152804","276.42057416210434","276.42057416210434","276.42057416210434"
"71","10670.5","10670","10671","767.355858297909","767.355858297909","767.355858297909","267.86454848720604","267.86454848720604","267.86454848720604"
"72","10818.5","10818","10819","693.7253615435432","693.7253615435432","693.7253615435432","260.27106935684","260.27106935684","260.27106935684"
"73","10966.5","10966","10967","699.422357895795","699.422357895795","699.422357895795","260.54584534527504","260.54584534527504","260.54584534527504"
"74","11114.5","11114","11115","677.453956155216","677.453956155216","677.453956155216","256.27830892066436","256.27830892066436","256.27830892066436"
"75","11262.5","11262","11263","716.777826645795","716.777826645795","716.777826645795","255.60674160473968","255.60674160473968","255.60674160473968"
"76","11410.5","11410","11411","701.5443079331342","701.5443079331342","701.5443079331342","254.70083602487225","254.70083602487225","254.70083602487225"
"77","11558.5","11558","11559","740.0508063821231","740.0508063821231","740.0508063821231","248.8643631608519","248.8643631608519","248.8643631608519"
"78","11706.5","11706","11707","783.9275602452896","783.9275602452896","783.9275602452896","242.94790317587658","242.94790317587658","242.94790317587658"
"79","11854.5","11854","11855","750.7077259736902","750.7077259736902","750.7077259736902","257.92850295811485","257.92850295811485","257.92850295811485"
"80","12003.5","12002","12005","690.9069644703585","690.9069644703585","690.9069644703585","244.96807809071998","244.96807809071998","244.96807809071998"
"81","12152.5","12152","12153","698.056240306181","698.056240306181","698.056240306181","230.70104191401234","230.70104191401234","230.70104191401234"
"82","12300.5","12300","12301","719.3781145881204","719.3781145881204","719.3781145881204","212.18963774589642","212.18963774589642","212.18963774589642"
"83","12448.5","12448","12449","703.2712168974035","703.2712168974035","703.2712168974035","201.1168370181567","201.1168370181567","201.1168370181567"
"84","12596.5","12596","12597","693.2582559024586","693.2582559024586","693.2582559024586","196.15066110271297","196.15066110271297","196.15066110271297"
"85","12744.5","12744","12745","721.4408766802619","721.4408766802619","721.4408766802619","196.70635442864406","196.70635442864406","196.70635442864406"
"86","12892.5","12892","12893","720.67286233341","720.67286233341","720.67286233341","204.33023170575703","204.33023170575703","204.33023170575703"
"87","13040.5","13040","13041","708.5844331629136","708.5844331629136","708.5844331629136","194.0262123525959","194.0262123525959","194.0262123525959"
"88","13188.5","13188","13189","682.7901108685662","682.7901108685662","682.7901108685662","180.14188327528026","180.14188327528026","180.14188327528026"
"89","13336.5","13336","13337","686.6089118508731","686.6089118508731","686.6089118508731","173.65539556006863","173.65539556006863","173.65539556006863"
