"epoch","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - _step__MAX","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - val_emd_loss","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - val_emd_loss__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - val_emd_loss__MAX","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - emd_loss","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - emd_loss__MIN","OPT_KITQM9_Shifted61spectra90epochs_32batchsize_0.0005lr_6cutoff_6numblock_256features_32att_KITQM9_seed3512 - emd_loss__MAX"
"0","147.5","147","148","11.363598823547363","11.363598823547363","11.363598823547363","11.616363525390625","11.616363525390625","11.616363525390625"
"10","1629.5","1629","1630","7.510159015655518","7.510159015655518","7.510159015655518","7.512131690979004","7.512131690979004","7.512131690979004"
"20","3111.5","3111","3112","7.050755977630615","7.050755977630615","7.050755977630615","6.622465133666992","6.622465133666992","6.622465133666992"
"30","4593.5","4593","4594","6.712881565093994","6.712881565093994","6.712881565093994","6.113061428070068","6.113061428070068","6.113061428070068"
"40","6075.5","6075","6076","5.7502288818359375","5.7502288818359375","5.7502288818359375","5.50872278213501","5.50872278213501","5.50872278213501"
"50","7557.5","7557","7558","5.577002048492432","5.577002048492432","5.577002048492432","4.949609756469727","4.949609756469727","4.949609756469727"
"60","9039.5","9039","9040","5.304935932159424","5.304935932159424","5.304935932159424","4.821573257446289","4.821573257446289","4.821573257446289"
"70","10521.5","10521","10522","5.1753458976745605","5.1753458976745605","5.1753458976745605","4.244731903076172","4.244731903076172","4.244731903076172"
"80","12003.5","12003","12004","5.177579879760742","5.177579879760742","5.177579879760742","4.092313289642334","4.092313289642334","4.092313289642334"
